Mesto,Ime,Priimek,Čas,Sekunde,Država,Leto
1,Eliud,KIPCHOGE,2:08:44,7724,Kenya,2016
2,Feyisa,LILESA,2:09:54,7794,Ethiopia,2016
3,Galen,RUPP,2:10:05,7805,United States of America,2016
4,Ghirmay,GHEBRESLASSIE,2:11:04,7864,Eritrea,2016
5,Alphonce Felix,SIMBU,2:11:15,7875,United Republic of Tanzania,2016
6,Jared,WARD,2:11:30,7890,United States of America,2016
7,Tadesse,ABRAHAM,2:11:42,7902,Switzerland,2016
8,Munyo Solomon,MUTAI,2:11:49,7909,Uganda,2016
9,Callum,HAWKINS,2:11:52,7912,Great Britain,2016
10,Eric,GILLIS,2:12:29,7949,Canada,2016
11,Abdi,NAGEEYE,2:13:01,7981,Netherlands,2016
12,Mumin,GALA,2:13:04,7984,Djibouti,2016
13,Lemi,BERHANU,2:13:29,8009,Ethiopia,2016
14,Stephen,KIPROTICH,2:13:32,8012,Uganda,2016
15,Paulo Roberto,PAULA,2:13:56,8036,Brazil,2016
16,Satoru,SASAKI,2:13:57,8037,Japan,2016
17,Kaan Kigen,OZBILEN,2:14:11,8051,Türkiye,2016
18,Bayron,PIEDRA,2:14:12,8052,Ecuador,2016
19,Sondre Nordstad,MOEN,2:14:17,8057,Norway,2016
20,Oleksandr,SITKOVSKYY,2:14:24,8064,Ukraine,2016
21,Amanuel,MESEL,2:14:37,8077,Eritrea,2016
22,Koen,NAERT,2:14:53,8093,Belgium,2016
23,Reid,COOLSAET,2:14:58,8098,Canada,2016
24,Lusapho,APRIL,2:15:24,8124,South Africa,2016
25,Thanackal,GOPI,2:15:25,8125,India,2016
26,Kheta,RAM,2:15:26,8126,India,2016
27,Chol,PAK,2:15:27,8127,Democratic People's Republic of Korea,2016
28,Evans Kiplagat,BARKOWET,2:15:31,8131,Azerbaijan,2016
29,Guojian,DONG,2:15:32,8132,People's Republic of China,2016
30,Ihor,OLEFIRENKO,2:15:36,8136,Ukraine,2016
31,Liam,ADAMS,2:16:12,8172,Australia,2016
32,Paul,POLLOCK,2:16:24,8184,Ireland,2016
33,Mebrahtom,KEFLEZIGHI,2:16:46,8206,United States of America,2016
34,Anuradha Indrajith,COORAY,2:17:06,8226,Sri Lanka,2016
35,Abdi Hakin,ULAD,2:17:06,8226,Denmark,2016
36,Suehiro,ISHIKAWA,2:17:08,8228,Japan,2016
37,Marius,IONESCU,2:17:27,8247,Romania,2016
38,Ruggero,PERTILE,2:17:30,8250,Italy,2016
39,Artur,KOZLOWSKI,2:17:34,8254,Poland,2016
40,Nicolas,CUESTAS,2:17:44,8264,Uruguay,2016
41,Pardon,NDHLOVU,2:17:48,8268,Zimbabwe,2016
42,Victor,ARAVENA,2:17:49,8269,Chile,2016
43,Saidi Juma,MAKULA,2:17:49,8269,United Republic of Tanzania,2016
44,Florent,CAELEN,2:17:59,8279,Belgium,2016
45,Raul,MACHACUAY,2:18:00,8280,Peru,2016
46,Richer,PEREZ,2:18:05,8285,Cuba,2016
47,Michael,SHELLEY,2:18:06,8286,Australia,2016
48,Ihor,RUSS,2:18:19,8299,Ukraine,2016
49,Carles,CASTILLEJO,2:18:34,8314,Spain,2016
50,Ernesto Andres,ZAMORA,2:18:36,8316,Uruguay,2016
1,Stephen,KIPROTICH,2:08:01,7681,Uganda,2012
2,Abel,KIRUI,2:08:27,7707,Kenya,2012
3,Wilson Kipsang,KIPROTICH,2:09:37,7777,Kenya,2012
4,Mebrahtom,KEFLEZIGHI,2:11:06,7866,United States of America,2012
5,Marilson,DOS SANTOS,2:11:10,7870,Brazil,2012
6,Kentaro,NAKAMOTO,2:11:16,7876,Japan,2012
7,Cuthbert,NYASANGO,2:12:08,7928,Zimbabwe,2012
8,Paulo Roberto,PAULA,2:12:17,7937,Brazil,2012
9,Henryk,SZOST,2:12:28,7948,Poland,2012
10,Ruggero,PERTILE,2:12:45,7965,Italy,2012
11,Viktor,ROTHLIN,2:12:48,7968,Switzerland,2012
12,Oleksandr,SITKOVSKYY,2:12:56,7976,Ukraine,2012
13,Franck,DE ALMEIDA,2:13:35,8015,Brazil,2012
14,Aleksey,REUNKOV,2:13:49,8029,Russian Federation,2012
15,Wirimai,JUWAWO,2:14:09,8049,Zimbabwe,2012
16,Michael,SHELLEY,2:14:10,8050,Australia,2012
17,Emmanuel Kipchirchir,MUTAI,2:14:49,8089,Kenya,2012
18,Rachid,KISRI,2:15:09,8109,Morocco,2012
19,Yared,ASMEROM,2:15:24,8124,Eritrea,2012
20,Dylan,WYKES,2:15:26,8126,Canada,2012
21,Raul,PACHECO,2:15:35,8135,Peru,2012
22,Eric,GILLIS,2:16:00,8160,Canada,2012
